calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia;done
Camino Santa Bárbara;Santa Bárbara;Santa;Bárbara;2;Female;-;-;https://es.wikipedia.org/wiki/B%C3%A1rbara_de_Nicomedia;TRUE
Calle de Boletum;Boletum;Boletum;;0;Unknown;-;-;;TRUE
Calle Caravis;Caravis;Caravis;;0;Unknown;-;-;;TRUE
Calle de Celsa;Celsa;Celsa;;2;Female;-;-;;TRUE
Calle de Pertusa;Pertusa;Pertusa;;0;Unknown;-;-;;TRUE
Camino de Enmedio;Enmedio;Enmedio;;0;Unknown;-;-;;TRUE
Calle de Bílbilis;Bílbilis;Bílbilis;;0;Unknown;-;-;;TRUE
Ronda de la Feria de Muestras;Ronda de la Feria de Muestras;Ronda;de;2;Unknown;-;-;;TRUE
Camino Balsa del Chocolatero;Balsa Chocolatero;Balsa;Chocolatero;0;Unknown;-;-;;TRUE
Camino Vistabella;Vistabella;Vistabella;;0;Unknown;-;-;;TRUE
Calle Salerno;Salerno;Salerno;;0;Unknown;-;-;;TRUE
Calle de Tarraca;Tarraca;Tarraca;;0;Unknown;-;-;;TRUE
Urbanizacion Paraiso;Urbanizacion Paraiso;Urbanizacion;Paraiso;0;Unknown;-;-;;TRUE
Camino La Frondosa;La Frondosa;La;Frondosa;0;Unknown;-;-;;TRUE
Camino de la Torre Nueva;Torre Nueva;Torre;Nueva;0;Unknown;-;-;;TRUE
Camino Jordan;Jordan;Jordan;;-2;Unknown;-;-;;TRUE
Camino de Jordán;Jordán;Jordán;;-2;Unknown;-;-;;TRUE
Calle F;F;F;;0;Unknown;-;-;;TRUE
Calle D;D;D;;0;Unknown;-;-;;TRUE
Calle L;L;L;;0;Unknown;-;-;;TRUE
Calle A;A;A;;0;Unknown;-;-;;TRUE
Calle O;O;O;;0;Unknown;-;-;;TRUE
Calle N;N;N;;0;Unknown;-;-;;TRUE
Calle P;P;P;;0;Unknown;-;-;;TRUE
Calle M;M;M;;0;Unknown;-;-;;TRUE
Calle E;E;E;;0;Unknown;-;-;;TRUE
Calle C;C;C;;0;Unknown;-;-;;TRUE
Calle G;G;G;;0;Unknown;-;-;;TRUE
Calle B;B;B;;0;Unknown;-;-;;TRUE
Ciudad Zaragoza Golf;Zaragoza Golf;Zaragoza;Golf;2;Unknown;-;-;;TRUE
Calle Genovés;Genovés;Genovés;;0;Unknown;-;-;;TRUE
Calle de Burtina;Burtina;Burtina;;0;Unknown;-;-;;TRUE
Camino de Barta a los Meaderos;Barta a los Meaderos;Barta;a;0;Unknown;-;-;;TRUE
Acceso a Polígono;Acceso a Polígono;Acceso;a;0;Unknown;-;-;;TRUE
Calle Puerta de Alcalá;Puerta Alcalá;Puerta;Alcalá;0;Unknown;-;-;;TRUE
Calle Fuente de Neptuno;Fuente Neptuno;Fuente;Neptuno;0;Unknown;-;-;;TRUE
Arcosur - Feria de muestras;Arcosur - Feria de muestras;Arcosur;-;0;Unknown;-;-;;TRUE
Calle Catedral de Santiago;Catedral Santiago;Catedral;Santiago;-2;Unknown;-;-;;TRUE
Calle de Marzo;Marzo;Marzo;;0;Unknown;-;-;;TRUE
Calle de Febrero;Febrero;Febrero;;0;Unknown;-;-;;TRUE
Calle de Enero;Enero;Enero;;0;Unknown;-;-;;TRUE
Calle de Diciembre;Diciembre;Diciembre;;0;Unknown;-;-;;TRUE
Calle I (Ciudad del Transporte);I (Ciudad Transporte);I;(Ciudad;0;Unknown;-;-;;TRUE
Calle G (Ciudad del Transporte);G (Ciudad Transporte);G;(Ciudad;0;Unknown;-;-;;TRUE
Calle H (Ciudad del Transporte);H (Ciudad Transporte);H;(Ciudad;0;Unknown;-;-;;TRUE
Calle K (Ciudad del Transporte);K (Ciudad Transporte);K;(Ciudad;0;Unknown;-;-;;TRUE
Calle J (Ciudad del Transporte);J (Ciudad Transporte);J;(Ciudad;0;Unknown;-;-;;TRUE
Calle C (Ciudad del Transporte);C (Ciudad Transporte);C;(Ciudad;0;Unknown;-;-;;TRUE
Calle F (Ciudad del Transporte);F (Ciudad Transporte);F;(Ciudad;0;Unknown;-;-;;TRUE
Calle E (Ciudad del Transporte);E (Ciudad Transporte);E;(Ciudad;0;Unknown;-;-;;TRUE
Calle D (Ciudad del Transporte);D (Ciudad Transporte);D;(Ciudad;0;Unknown;-;-;;TRUE
Calle B (Ciudad del Transporte);B (Ciudad Transporte);B;(Ciudad;0;Unknown;-;-;;TRUE
Calle A (Ciudad del Transporte);A (Ciudad Transporte);A;(Ciudad;0;Unknown;-;-;;TRUE
Calle Límite Sur (Ciudad del Transporte);Límite Sur (Ciudad Transporte);Límite;Sur;0;Unknown;-;-;;TRUE
Calle N (Ciudad del Transporte);N (Ciudad Transporte);N;(Ciudad;0;Unknown;-;-;;TRUE
Calle P-A (Ciudad del Transporte);P-A (Ciudad Transporte);P-A;(Ciudad;0;Unknown;-;-;;TRUE
Calle P-B (Ciudad del Transporte);P-B (Ciudad Transporte);P-B;(Ciudad;0;Unknown;-;-;;TRUE
Calle Límite Este (Ciudad del Transporte);Límite Este (Ciudad Transporte);Límite;Este;0;Unknown;-;-;;TRUE
Camino del Cascajo;Cascajo;Cascajo;;0;Unknown;-;-;;TRUE
Calle Las Moreras;Las Moreras;Las;Moreras;0;Unknown;-;-;;TRUE
Paseo Antonio Negre García;Antonio Negre García;Antonio;Negre;-2;Male;-;-;;TRUE
Calle de la Torre del Carmen;Torre Carmen;Torre;Carmen;2;Unknown;-;-;;TRUE
Calle Parache;Parache;Parache;;0;Unknown;-;-;;TRUE
Calle Ángel Hernández;Ángel Hernández;Ángel;Hernández;-2;Male;-;-;;TRUE
Calle Paso;Paso;Paso;;0;Unknown;-;-;;TRUE
Calle de la Herrería;Herrería;Herrería;;0;Unknown;-;-;;TRUE
Calle Francisco Moreno;Francisco Moreno;Francisco;Moreno;-2;Male;-;-;;TRUE
Calle del Doctor Palomar;Doctor Palomar;Doctor;Palomar;0;Unknown;-;-;;TRUE
Calle San Roque (San Juan de Mozarrifar);San Roque (San Juan Mozarrifar);San;Roque;-2;Male;-;-;;TRUE
Calle del Azahar;Azahar;Azahar;;2;Unknown;-;-;;TRUE
Calle de Almud;Almud;Almud;;0;Unknown;-;-;;TRUE
Calle del Chan;Chan;Chan;;2;Unknown;-;-;;TRUE
Calle de Jesús González Cruz;Jesús González Cruz;Jesús;González;-2;Male;-;-;;TRUE
Calle del Mosén Manuel López Artal;Mosén Manuel López Artal;Mosén;Manuel;-2;Male;-;-;;TRUE
Calle del Quintal;Quintal;Quintal;;0;Unknown;-;-;;TRUE
Calle del Comercio;Comercio;Comercio;;0;Unknown;-;-;;TRUE
Calle de Mequinenza;Mequinenza;Mequinenza;;0;Unknown;-;-;;TRUE
Calle de Trasmoz;Trasmoz;Trasmoz;;0;Unknown;-;-;;TRUE
