calle;calleClean;name;surname;fiabilidad;gender;wikipedia
Urquiza;Urquiza;Urquiza;;0;Male;
Bolivar;Bolivar;Bolivar;;-2;Male;
San Martin;San Martin;San;Martin;-2;Male;
Cnel. Tomás de Rocamora;Cnel. Tomás de Rocamora;Cnel.;Tomás;-2;Male;
Domingo Baloni;Domingo Baloni;Domingo;Baloni;-2;Male;
Virgen Peregrina;Virgen Peregrina;Virgen;Peregrina;2;Female;https://es.wikipedia.org/wiki/Virgen_Peregrina
Güemes;Güemes;Güemes;;0;Male;
Pje. Rocamora;Pje. Rocamora;Pje.;Rocamora;0;Male;
Pellegrini;Pellegrini;Pellegrini;;0;Male;
Rocamora;Rocamora;Rocamora;;0;Male;
Avenida José Iglesias;José Iglesias;José;Iglesias;-2;Male;
Pje Fernando Marsilli;Pje Fernando Marsilli;Pje;Fernando;-2;Male;
"Pje. A. ""Turco"" Pampillón";"Pje.  ""Turco"" Pampillón";Pje.;;0;Male;
Pje. Senador Lena;Pje. Senador Lena;Pje.;Senador;-2;Male;
Champagnat;Champagnat;Champagnat;;0;Male;
Pje Concejal A. Cofalonieri;Pje Concejal  Cofalonieri;Pje;Concejal;0;Male;
Martín Fierro;Martín Fierro;Martín;Fierro;-2;Male;
Cnel Tomás de Rocamora;Cnel Tomás de Rocamora;Cnel;Tomás;-2;Male;
Guarumba;Guarumba;Guarumba;;0;Male;
Ángel Repetto;Ángel Repetto;Ángel;Repetto;-2;Male;
Pje. Concejal Giacomelli;Pje. Concejal Giacomelli;Pje.;Concejal;0;Male;
Estrada;Estrada;Estrada;;0;Male;
Pablo Stampa;Pablo Stampa;Pablo;Stampa;-2;Male;
Consejal Nestor Brarda;Consejal Nestor Brarda;Consejal;Nestor;-2;Male;
Consejal Enrique Casas;Consejal Enrique s;Consejal;Enrique;-2;Male;
Pje Concejal Isidro Siviero;Pje Concejal Isidro Siviero;Pje;Concejal;-2;Male;
Pje. Concejal R. Yanki Gonzalez;Pje. Concejal R. Yanki Gonzalez;Pje.;Concejal;0;Male;
Pje. Concejal Maria M. Migoya;Pje. Concejal Maria M. Migoya;Pje.;Concejal;2;Female;
Pje Concejal C. Laner;Pje Concejal  Laner;Pje;Concejal;0;Male;
Rivadavia;Rivadavia;Rivadavia;;0;Male;
Pancho Ramírez;Pancho Ramírez;Pancho;Ramírez;-2;Male;
Alberdi;Alberdi;Alberdi;;0;Male;
Roque Sáenz Peña;Roque Sáenz Peña;Roque;Sáenz;-2;Male;
Pje. Licenciado Fleitas Garcia;Pje. Licenciado Fleitas Garcia;Pje.;Licenciado;-2;Male;
Pje. Las Madres;Pje. Las Madres;Pje.;Las;0;Female;
Sarmiento;Sarmiento;Sarmiento;;0;Male;
Hipólito Yrigoyen;Hipólito Yrigoyen;Hipólito;Yrigoyen;-2;Male;
Avenida Doctor Casillas;Doctor Casillas;Doctor;Casillas;0;Male;
Gregorio Castro;Gregorio Castro;Gregorio;Castro;-2;Male;
Padre Max Wendler;Padre Max Wendler;Padre;Max;-2;Male;
Alejo Peyret;Alejo Peyret;Alejo;Peyret;-2;Male;
J. de San Martín;J. de San Martín;J.;de;-2;Male;
Hernandarias;Hernandarias;Hernandarias;;0;Male;
Camila Quiroga;Camila Quiroga;Camila;Quiroga;2;Female;https://es.wikipedia.org/wiki/Camila_Quiroga
Pje. M. Kurt Baum;Pje. M. Kurt Baum;Pje.;M.;-2;Male;
Pje. Cro. Gral. Belgrano;Pje. Cro.  Belgrano;Pje.;Cro.;0;Male;
Mons. Cagliero;Mons. Cagliero;Mons.;Cagliero;0;Male;
Pje. Luis Vernet;Pje. Luis Vernet;Pje.;Luis;-2;Male;
Artigas;Artigas;Artigas;;0;Male;
Pje. Dr E. Zucco;Pje. Dr E. Zucco;Pje.;Dr;0;Male;
Pje. Soldado D. Sirtori;Pje. Soldado D. Sirtori;Pje.;Soldado;0;Male;
Mitre;Mitre;Mitre;;0;Male;
Avenida Siburu;Siburu;Siburu;;0;Male;
Moreno;Moreno;Moreno;;-2;Male;
Avenida Alem;Alem;Alem;;0;Male;
Eva Perón;Eva Perón;Eva;Perón;2;Female;https://es.wikisource.org/wiki/Autor:Eva_Per%C3%B3n
J. B. Alberdi;J. B. Alberdi;J.;B.;0;Male;
Avenida Hipólito Yrigoyen;Hipólito Yrigoyen;Hipólito;Yrigoyen;-2;Male;
René Favaloro;René Favaloro;René;Favaloro;2;Male;
Falucho;Falucho;Falucho;;0;Male;
Juan Bautista Alberdi;Juan Bautista Alberdi;Juan;Bautista;-2;Male;
Santos Vega;Santos Vega;Santos;Vega;2;Male;
José Hernandez;José Hernandez;José;Hernandez;-2;Male;
Martiniano Leguizamón;Martiniano Leguizamón;Martiniano;Leguizamón;-2;Male;
Sargento Cabral;Sargento Cabral;Sargento;Cabral;0;Male;
Vélez Sarsfield;Vélez Sarsfield;Vélez;Sarsfield;0;Male;
Gral Pablo de la Cruz;Gral Pablo de la Cruz;Gral;Pablo;-2;Male;
J. J. Masten;J. J. Masten;J.;J.;0;Male;
Pasaje H. Fernando;H. Fernando;H.;Fernando;-2;Male;
Ermácora;Ermácora;Ermácora;;0;Male;
Alicia Moreau de Justo;Alicia Moreau de Justo;Alicia;Moreau;2;Female;https://es.wikipedia.org/wiki/Alicia_Moreau_de_Justo
Padre Mugica;Padre Mugica;Padre;Mugica;0;Male;
La Inmaculada;La Inmaculada;La;Inmaculada;2;Female;https://es.wikipedia.org/wiki/Inmaculada_Concepci%C3%B3n
Simón de Iriondo;Simón de Iriondo;Simón;de;-2;Male;
G. Febre;G. Febre;G.;Febre;0;Male;
Juan Dillón;Juan Dillón;Juan;Dillón;-2;Male;
Siburu;Siburu;Siburu;;0;Male;
"Intendente ""Pocho"" Cano";"Intendente ""Pocho"" Cano";Intendente;Pocho;0;Male;
Hermano Godofredo;Hermano Godofredo;Hermano;Godofredo;-2;Male;
Pasaje Susana Brarda;Susana Brarda;Susana;Brarda;2;Female;
