calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Rua Afonso Lipinski;Afonso Lipinski;Afonso;Lipinski;-2;Male;-;-;
Rua Antônio Krasinski;Antônio Krasinski;Antônio;Krasinski;-2;Male;-;-;
Rua Edmundo Kaminski;Edmundo Kaminski;Edmundo;Kaminski;-2;Male;-;-;
Rua Oscar Borges de Macedo Filho;Oscar Borges de Macedo Filho;Oscar;Borges;-2;Male;-;-;
Rua José Izidoro Biazetto;José Izidoro Biazetto;José;Izidoro;-2;Male;-;-;
Rua José Nicco;José Nicco;José;Nicco;-2;Male;-;-;
Rua Alferes Ângelo Sampaio;Alferes Ângelo Sampaio;Alferes;Ângelo;-2;Male;-;-;
Rua Fernando Simas;Fernando Simas;Fernando;Simas;-2;Male;-;-;
Alameda Princesa Izabel;Princesa Izabel;Princesa;Izabel;2;Female;-;-;
Rua Desembargador Motta;Desembargador Motta;Desembargador;Motta;0;Male;-;-;
Avenida Desembargador Hugo Simas;Desembargador Hugo Simas;Desembargador;Hugo;-2;Male;-;-;
Avenida Vicente Machado;Vicente Machado;Vicente;Machado;-2;Male;-;-;
Rua Jerônimo Durski;Jerônimo Durski;Jerônimo;Durski;-2;Male;-;-;
Rua João Kaviski;João Kaviski;João;Kaviski;-2;Male;-;-;
Alameda Augusto Stellfeld;Augusto Stellfeld;Augusto;Stellfeld;-2;Male;-;-;
Rua José Domakoski;José Domakoski;José;Domakoski;-2;Male;-;-;
Rua Edgard Roquete Pinto;Edgard Roquete Pinto;Edgard;Roquete;-2;Male;-;-;
Rua Dona Alice Tibiriçá;Dona Alice Tibiriçá;Dona;Alice;2;Female;-;-;
Rua Coronel Joaquim Ignácio Taborda Ribas;Coronel Joaquim Ignácio Taborda Ribas;Coronel;Joaquim;-2;Male;-;-;
Rua Marechal José Bernardino Bormann;Marechal José Bernardino Bormann;Marechal;José;-2;Male;-;-;
Travessa Doutor Lourival Schwansee Torres;Doutor Lourival Schwansee Torres;Doutor;Lourival;-2;Male;-;-;
Rua Euclides da Cunha;Euclides da Cunha;Euclides;da;-2;Male;-;-;
Rua Doutor Generoso Borges;Doutor Generoso Borges;Doutor;Generoso;-2;Male;-;-;
Rua Desembargador Costa Carvalho;Desembargador Costa Carvalho;Desembargador;Costa;-2;Male;-;-;
Rua General Aristides Athayde Júnior;General Aristides Athayde Júnior;General;Aristides;-2;Male;-;-;
Rua Bruno Filgueira;Bruno Filgueira;Bruno;Filgueira;-2;Male;-;-;
Rua Francisco Rocha;Francisco Rocha;Francisco;Rocha;-2;Male;-;-;
Rua Desembargador Otávio Amaral;Desembargador Otávio Amaral;Desembargador;Otávio;-2;Male;-;-;
Rua Gutemberg;Gutemberg;Gutemberg;;-2;Unknown;-;-;
Alameda Dom Pedro II;Dom Pedro II;Dom;Pedro;-2;Male;-;-;
Rua Olavo Bilac;Olavo Bilac;Olavo;Bilac;-2;Male;-;-;
Rua Hermes Fontes;Hermes Fontes;Hermes;Fontes;-2;Male;-;-;
Rua Carmelo Rangel;Carmelo Rangel;Carmelo;Rangel;-2;Male;-;-;
Rua Josefina Rocha;Josefina Rocha;Josefina;Rocha;2;Female;-;-;
Rua São Thomaz de Aquino;São Thomaz de Aquino;São;Thomaz;-2;Male;-;-;
Travessa José Surugi;José Surugi;José;Surugi;-2;Male;-;-;
Rua Luiz Felipe Lopes;Luiz Felipe Lopes;Luiz;Felipe;-2;Male;-;-;
Rua São Basílio Magno;São Basílio Magno;São;Basílio;-2;Male;-;-;
Rua Frei Junípero Serra;Frei Junípero Serra;Frei;Junípero;-2;Male;-;-;
Rua Doutor Romualdo Antônio Baraúna;Doutor Romualdo Antônio Baraúna;Doutor;Romualdo;-2;Male;-;-;
Rua Padre Giacomo Cusmano;Padre Giacomo Cusmano;Padre;Giacomo;-2;Male;-;-;
Rua João Nadvorny;João Nadvorny;João;Nadvorny;-2;Male;-;-;
Rua Fernando Darif;Fernando Darif;Fernando;Darif;-2;Male;-;-;
Rua Bernardo Staviski;Bernardo Staviski;Bernardo;Staviski;-2;Male;-;-;
Rua Lourenço Gbur;Lourenço Gbur;Lourenço;Gbur;-2;Male;-;-;
Rua Ângela Ganz;Ângela Ganz;Ângela;Ganz;2;Female;-;-;
Rua Major Alberto Pereira Jorge;Major Alberto Pereira Jorge;Major;Alberto;-2;Male;-;-;
Rua Antônio Rodrigues;Antônio Rodrigues;Antônio;Rodrigues;-2;Male;-;-;
Rua André Kaviski;André Kaviski;André;Kaviski;-2;Male;-;-;
Rua Emílio de Almeida Torres;Emílio de Almeida Torres;Emílio;de;-2;Male;-;-;
Rua Kalil Elias Warde;Kalil Elias Warde;Kalil;Elias;-2;Male;-;-;
Rua Jornalista Nelson Luiz Ribas de Oliveira;Jornalista Nelson Luiz Ribas de Oliveira;Jornalista;Nelson;-2;Male;-;-;
Rua Francisco Machado;Francisco Machado;Francisco;Machado;-2;Male;-;-;
Rua Deputado Nilson Ribas;Deputado Nilson Ribas;Deputado;Nilson;-2;Male;-;-;
Rua Tito Calderari;Tito Calderari;Tito;Calderari;-2;Male;-;-;
Rua José Ancelmo Nicco;José Ancelmo Nicco;José;Ancelmo;-2;Male;-;-;
Rua Osvaldo Novicki;Osvaldo Novicki;Osvaldo;Novicki;-2;Male;-;-;
Rua Doutor Francisco Alexandre Guedes Chagas;Doutor Francisco Alexandre Guedes Chagas;Doutor;Francisco;-2;Male;-;-;
Rua Clodomiro Avelleda;Rua Clodomiro elleda;Rua;Clodomiro;-2;Male;-;-;
Rua Carlota Mion;Carlota Mion;Carlota;Mion;2;Female;-;-;
Rua Mário Jordão Affonso da Costa;Mário Jordão Affonso da Costa;Mário;Jordão;-2;Male;-;-;
Rua Doutor Lauro Nery Canto;Doutor Lauro Nery Canto;Doutor;Lauro;-2;Male;-;-;
Rua João Nociti;João Nociti;João;Nociti;-2;Male;-;-;
Rua Anna Ciupka;Anna Ciupka;Anna;Ciupka;2;Female;-;-;
Rua Estanislau Pampuche;Estanislau Pampuche;Estanislau;Pampuche;-2;Male;-;-;
Rua Francisco Affanio;Francisco Affanio;Francisco;Affanio;-2;Male;-;-;
Rua André Cecone;André Cecone;André;Cecone;-2;Male;-;-;
Rua Valentin Harkot;Valentin Harkot;Valentin;Harkot;-2;Male;-;-;
Rua Gabriel Nunes Pires;Gabriel Nunes Pires;Gabriel;Nunes;-2;Male;-;-;
Rua Newton Ivan Busley;Newton Ivan Busley;Newton;Ivan;-2;Male;-;-;
Rua Martha Cruz Lima Ratton;Martha Cruz Lima Ratton;Martha;Cruz;2;Female;-;-;
Rua José Klisievicz;José Klisievicz;José;Klisievicz;-2;Male;-;-;
Rua Francisco Nadolny;Francisco Nadolny;Francisco;Nadolny;-2;Male;-;-;
Rua Gregório Kaviski;Gregório Kaviski;Gregório;Kaviski;-2;Male;-;-;
Rua Deputado Heitor Alencar Furtado;Deputado Heitor Alencar Furtado;Deputado;Heitor;-2;Male;-;-;
Rua Professor Lycio Grein de Castro Vellozo;Professor Lycio Grein de Castro Vellozo;Professor;Lycio;-2;Male;-;-;
Alameda Professor Rubens Requião;Professor Rubens Requião;Professor;Rubens;-2;Male;-;-;
Travessa Amando Mann;Amando Mann;Amando;Mann;-2;Male;-;-;
Rua Desembargador Isaías Beviláqua;Desembargador Isaías Beviláqua;Desembargador;Isaías;-2;Male;-;-;
Rua Jacarezinho;Jacarezinho;Jacarezinho;;0;Unknown;-;-;
Rua Professora Ephigênia do Rego Barros;Professora Ephigênia do Rego Barros;Professora;Ephigênia;2;Female;-;-;
Rua Júlia Wanderley;Júlia Wanderley;Júlia;Wanderley;2;Female;-;-;https://pt.wikipedia.org/wiki/J%C3%BAlia_Wanderley
Rua Joaquim da Silva Sampaio;Joaquim da Silva Sampaio;Joaquim;da Silva;-2;Male;-;-;
Rua Edmundo Saporski;Edmundo Saporski;Edmundo;Saporski;-2;Male;-;-;
Rua Marcelino Champagnat;Marcelino Champagnat;Marcelino;Champagnat;-2;Male;-;-;
Rua Gregório Dorigo;Gregório Dorigo;Gregório;Dorigo;-2;Male;-;-;
Rua Doutor Aluízio França;Doutor Aluízio França;Doutor;Aluízio;-2;Male;-;-;
Rua Victor Burda;Victor Burda;Victor;Burda;-2;Male;-;-;
Rua Paulo Martins;Paulo Martins;Paulo;Martins;-2;Male;-;-;
Rua Nestor Lopes da Silva;Nestor Lopes da Silva;Nestor;Lopes;-2;Male;-;-;
Rua Capitão Joseph Pereira Quevedo;Capitão Joseph Pereira Quevedo;Capitão;Joseph;-2;Male;-;-;
Rua Romano Bertagnoli;Romano Bertagnoli;Romano;Bertagnoli;-2;Male;-;-;
Rua Luíz Manzochi;Luíz Manzochi;Luíz;Manzochi;-2;Male;-;-;
Rua General Agostinho Pereira Alves Filho;General Agostinho Pereira Alves Filho;General;Agostinho;-2;Male;-;-;
Rua Hildebrando Cordeiro;Hildebrando Cordeiro;Hildebrando;Cordeiro;-2;Male;-;-;
Rua Engenheiro Serafim Voloschen;Engenheiro Serafim Voloschen;Engenheiro;Serafim;-2;Male;-;-;
Rua Lúcio Rasera;Lúcio Rasera;Lúcio;Rasera;-2;Male;-;-;
Rua Pedro Nolasko Pizzatto;Pedro Nolasko Pizzatto;Pedro;Nolasko;-2;Male;-;-;
Avenida Cândido Hartmann;Cândido Hartmann;Cândido;Hartmann;-2;Male;-;-;
Rua Antônio Nogarolli;Antônio Nogarolli;Antônio;Nogarolli;-2;Male;-;-;
Rua Ângelo Maestrelli;Ângelo Maestrelli;Ângelo;Maestrelli;-2;Male;-;-;
Rua Jerseryna Novakowsk;Jerseryna Novakowsk;Jerseryna;Novakowsk;0;Female;-;-;
Rua Doutor Antônio Alves Souza;Doutor Antônio Alves Souza;Doutor;Antônio;-2;Male;-;-;
Rua Isabel Withers Gomm;Isabel Withers Gomm;Isabel;Withers;2;Female;-;-;
Rua Amabile Scaletti;Amabile Scaletti;Amabile;Scaletti;2;Female;-;-;
Rua David Abrão;David Abrão;David;Abrão;-2;Male;-;-;
Rua Pedro Foltran;Pedro Foltran;Pedro;Foltran;-2;Male;-;-;
Rua Frederico Cantarelli;Frederico Cantarelli;Frederico;Cantarelli;-2;Male;-;-;
Rua Doutor Álvaro Albuquerque;Doutor Álvaro Albuquerque;Doutor;Álvaro;-2;Male;-;-;
Rua José Casagrande;Rua José grande;Rua;José;-2;Male;-;-;
Rua Pedro Viriato de Souza;Pedro Viriato de Souza;Pedro;Viriato;-2;Male;-;-;
Rua Odilon L Ribas;Odilon L Ribas;Odilon;L;-2;Male;-;-;
Rua Máximo Pinheiro Lima;Máximo Pinheiro Lima;Máximo;Pinheiro;-2;Male;-;-;
Rua Constantino Falcão;Constantino Falcão;Constantino;Falcão;-2;Male;-;-;
Rua Osvaldo Andrzejewski;Osvaldo Andrzejewski;Osvaldo;Andrzejewski;-2;Male;-;-;
Rua Izidoro Chanoski;Izidoro Chanoski;Izidoro;Chanoski;-2;Male;-;-;
Rua Professor Dario Garcia;Professor Dario Garcia;Professor;Dario;-2;Male;-;-;
Rua Estéfano Joucoski;Estéfano Joucoski;Estéfano;Joucoski;-2;Male;-;-;
Rua Manoel Amálio do Souza;Manoel Amálio do Souza;Manoel;Amálio;-2;Male;-;-;
Rua Comendador David dos Santos Pacheco;Comendador David dos Santos Pacheco;Comendador;David;-2;Male;-;-;
Rua Aristides Ferreira de Andrade;Aristides Ferreira de Andrade;Aristides;Ferreira;2;Male;-;-;
Rua Dona Hermínia Lupion;Dona Hermínia Lupion;Dona;Hermínia;2;Female;-;-;
Rua Elias Carazzai;Elias Carazzai;Elias;Carazzai;-2;Male;-;-;
Rua Deputado José Hoffmann;Deputado José Hoffmann;Deputado;José;-2;Male;-;-;
Rua Vereador Antenor Pâmphilo dos Santos;Vereador Antenor Pâmphilo dos Santos;Vereador;Antenor;-2;Male;-;-;
Rua Tenente Manoel José dos Santos;Tenente Manoel José dos Santos;Tenente;Manoel;-2;Male;-;-;
Rua Olímpio Sotto Maior Sobrinho;Olímpio Sotto Maior Sobrinho;Olímpio;Sotto;-2;Male;-;-;
Rua Maria Luíza Sbalqueiro Deconto;Maria Luíza Sbalqueiro Deconto;Maria;Luíza;2;Female;-;-;
Rua Frei Constantino Gozzo;Frei Constantino Gozzo;Frei;Constantino;-2;Male;-;-;
Rua Francisco May;Francisco May;Francisco;May;-2;Male;-;-;
Rua Alípio Leduc dos Santos;Alípio Leduc dos Santos;Alípio;Leduc;-2;Male;-;-;
Rua Bogumil Radomski;Bogumil Radomski;Bogumil;Radomski;0;Male;-;-;
Rua Guilherme Alberto Hellmuth Seyer;Guilherme Alberto Hellmuth Seyer;Guilherme;Alberto;-2;Male;-;-;
Moradias do Bosque Condomínio Horizontal;Moradias do Bosque Condomínio Horizontal;Moradias;do;0;Unknown;-;-;
Rua Luíz Leduc;Luíz Leduc;Luíz;Leduc;-2;Male;-;-;
Rua Antônio Costa;Antônio Costa;Antônio;Costa;-2;Male;-;-;
Rua Rafael Vechione;Rafael Vechione;Rafael;Vechione;-2;Male;-;-;
Rua Carlos Razera;Carlos Razera;Carlos;Razera;-2;Male;-;-;
Rua João Tschannerl;João Tschannerl;João;Tschannerl;-2;Male;-;-;
Rua Antônio Gruba;Antônio Gruba;Antônio;Gruba;-2;Male;-;-;
Rua Miguel Tschannerl;Miguel Tschannerl;Miguel;Tschannerl;-2;Male;-;-;
Rua Barão de Studart;Barão de Studart;Barão;de;0;Male;-;-;
Rua Antônio Grade;Antônio Grade;Antônio;Grade;-2;Male;-;-;
Rua Carlos Leining Júnior;Carlos Leining Júnior;Carlos;Leining;-2;Male;-;-;
Rua Higino Mazzarotto;Higino Mazzarotto;Higino;Mazzarotto;-2;Male;-;-;
Rua Bruno Schaffer;Bruno Schaffer;Bruno;Schaffer;-2;Male;-;-;
Rua Engenheiro Roberto Guilherme Pereira Leite;Engenheiro Roberto Guilherme Pereira Leite;Engenheiro;Roberto;-2;Male;-;-;
Rua Gardênio Scorzato;Gardênio Scorzato;Gardênio;Scorzato;-2;Male;-;-;
Rua Via Firenze;Rua  Firenze;Rua;;-2;Unknown;-;-;
Rua Via Vicenza;Rua  Vicenza;Rua;;-2;Unknown;-;-;
Rua Frei Valentin Hella;Frei Valentin Hella;Frei;Valentin;-2;Male;-;-;
Rua Professor Osvaldo Kohatsu;Professor Osvaldo Kohatsu;Professor;Osvaldo;-2;Male;-;-;
Rua William Walter Atkinson;William Walter Atkinson;William;Walter;-2;Male;-;-;
Rua José Ingenieros;José Ingenieros;José;Ingenieros;-2;Male;-;-;
Rua Jefferson César;Jefferson César;Jefferson;César;-2;Male;-;-;
Rua José Hella;José Hella;José;Hella;-2;Male;-;-;
Rua Catharina Potina de Mauro;Catharina Potina de Mauro;Catharina;Potina;2;Female;-;-;
Rua Coronel João Maria Sobrinho;Coronel João Maria Sobrinho;Coronel;João;-2;Male;-;-;
Rua Niccolo Paganini;Niccolo Paganini;Niccolo;Paganini;-2;Male;-;-;
Rua Vitório Sbaqueiro;Vitório Sbaqueiro;Vitório;Sbaqueiro;-2;Male;-;-;
Rua Noel Rosa;Noel Rosa;Noel;Rosa;2;Male;-;-;
Alameda Presidente Taunay;Presidente Taunay;Presidente;Taunay;-2;Male;-;-;
Rua Santa Cecília;Santa Cecília;Santa;Cecília;2;Female;-;-;https://pt.wikipedia.org/wiki/Cec%C3%ADlia_de_Roma
Rua Victório Viezzer;Victório Viezzer;Victório;Viezzer;-2;Male;-;-;
Rua Tenente João Gomes da Silva;Tenente João Gomes da Silva;Tenente;João;-2;Male;-;-;
Rua do Amapá;do Amapá;do;Amapá;0;Unknown;-;-;
Rua Desembargador Vieira Cavalcanti;Desembargador Vieira Cavalcanti;Desembargador;Vieira;-2;Male;-;-;
Rua dos Capuchinhos;dos Capuchinhos;dos;Capuchinhos;2;Unknown;-;-;
Rua Solimões;Solimões;Solimões;;0;Unknown;-;-;
Rua Henri Dunant;Henri Dunant;Henri;Dunant;-2;Male;-;-;
Rua Carlos Benetti;Carlos Benetti;Carlos;Benetti;-2;Male;-;-;
Rua Júlio Perneta;Júlio Perneta;Júlio;Perneta;-2;Male;-;-;
Rua Mamoré;Mamoré;Mamoré;;0;Unknown;-;-;
Rua Particular da Paulo Greaeser;Particular da Paulo Greaeser;Particular;da;-2;Male;-;-;
Rua Eugênio Ferdinando Lauer;Eugênio Ferdinando Lauer;Eugênio;Ferdinando;-2;Male;-;-;
Condomínio Sherwood;Condomínio Sherwood;Condomínio;Sherwood;0;Unknown;-;-;
Rua Engenheiro Rômulo Gutierrez;Engenheiro Rômulo Gutierrez;Engenheiro;Rômulo;-2;Male;-;-;
Rua Jeremias Lissa;Jeremias Lissa;Jeremias;Lissa;-2;Male;-;-;
Rua Virgínia Bressan;Virgínia Bressan;Virgínia;Bressan;2;Female;-;-;
Rua Manoel José Ador;Manoel José Ador;Manoel;José;-2;Male;-;-;
Rua Gaspar Carnilho Júnior;Gaspar Carnilho Júnior;Gaspar;Carnilho;-2;Male;-;-;
Rua Doutor Otto Ernesto Blume;Doutor Otto Ernesto Blume;Doutor;Otto;-2;Male;-;-;
Rua João Carlos Pedrosa;João Carlos Pedrosa;João;Carlos;-2;Male;-;-;
Rua Francisco Schaffer;Francisco Schaffer;Francisco;Schaffer;-2;Male;-;-;
Rua Giacchino Rossini;Giacchino Rossini;Giacchino;Rossini;-2;Male;-;-;
Rua Johann Sebastian Bach;Johann Sebastian Bach;Johann;Sebastian;-2;Male;-;-;
Rua Weber;Weber;Weber;;-2;Male;-;-;
Rua Arthur Leinig;Arthur Leinig;Arthur;Leinig;-2;Male;-;-;
Rua Jacob Wellner;Jacob Wellner;Jacob;Wellner;-2;Male;-;-;
Rua Irmã Tecla;Irmã Tecla;Irmã;Tecla;2;Female;-;-;
Rua Douglas Haquim;Douglas Haquim;Douglas;Haquim;-2;Male;-;-;
Travessa Antônio Costa;Antônio Costa;Antônio;Costa;-2;Male;-;-;
Rua Kalil Antônio Farran;Kalil Antônio Farran;Kalil;Antônio;-2;Male;-;-;
Rua José Domingos Marcondes de Carvalho;José Domingos Marcondes de Carvalho;José;Domingos;-2;Male;-;-;
Rua João Brasílio Ribas;João Brasílio Ribas;João;Brasílio;-2;Male;-;-;
Rua Carlos Garbaccio;Carlos Garbaccio;Carlos;Garbaccio;-2;Male;-;-;
Rua Sérgio Pereira da Silva;Sérgio Pereira da Silva;Sérgio;Pereira;-2;Male;-;-;
Rua Ângelo Vigo;Ângelo Vigo;Ângelo;Vigo;-2;Male;-;-;
Rua Elias João Zaruch;Elias João Zaruch;Elias;João;-2;Male;-;-;
Rua Caetano Munhoz da Rocha Filho;Caetano Munhoz da Rocha Filho;Caetano;Munhoz;-2;Male;-;-;
Rua Ana Garcia da Silva;Ana Garcia da Silva;Ana;Garcia;2;Female;-;-;
Rua Padre Ludovico Bronny;Padre Ludovico Bronny;Padre;Ludovico;-2;Male;-;-;
Rua João Pereira da Silva;João Pereira da Silva;João;Pereira;-2;Male;-;-;
Rua Professor José Moscalewski;Professor José Moscalewski;Professor;José;-2;Male;-;-;
Rua Luíz Marcassa;Luíz Marcassa;Luíz;Marcassa;-2;Male;-;-;
Rua Guilherme Braga de Abreu Pires;Guilherme Braga de Abreu Pires;Guilherme;Braga;-2;Male;-;-;
Rua Professor Irland Godoy;Professor Irland Godoy;Professor;Irland;-2;Male;-;-;
Rua Milena Costa;Milena Costa;Milena;Costa;2;Female;-;-;
Rua Reginaldo Antônio Zem;Reginaldo Antônio Zem;Reginaldo;Antônio;-2;Male;-;-;
Rua Cirilo Ortolani;Cirilo Ortolani;Cirilo;Ortolani;-2;Male;-;-;
Rua Cézar Augusto Scandelari;Cézar Augusto Scandelari;Cézar;Augusto;-2;Male;-;-;
Rua Ignácio Gbur;Ignácio Gbur;Ignácio;Gbur;-2;Male;-;-;
Rua General Álvaro Braga;General Álvaro Braga;General;Álvaro;-2;Male;-;-;
Rua Carlos Estrella Moreira;Carlos Estrella Moreira;Carlos;Estrella;-2;Male;-;-;
Rua Engenheiro Agrônomo Lauro Klas;Engenheiro Agrônomo Lauro Klas;Engenheiro;Agrônomo;-2;Male;-;-;
Rua José Alcides de Lima;José Alcides de Lima;José;Alcides;-2;Male;-;-;
Avenida das Indústrias;das Indústrias;das;Indústrias;2;Unknown;-;-;
Rua Laudelino Ferreira Lopes;Laudelino Ferreira Lopes;Laudelino;Ferreira;-2;Male;-;-;
Rua Deputado Waldemiro Pedroso;Deputado Waldemiro Pedroso;Deputado;Waldemiro;-2;Male;-;-;
Rua Paulina Ader;Paulina Ader;Paulina;Ader;2;Female;-;-;
Rua Sebastião Malucelli;Sebastião Malucelli;Sebastião;Malucelli;-2;Male;-;-;
Rua Carlos Dietzsch;Carlos Dietzsch;Carlos;Dietzsch;-2;Male;-;-;
Rua Coronel Pretextato Pena Forte Taborda Ribas;Coronel Pretextato Pena Forte Taborda Ribas;Coronel;Pretextato;-2;Male;-;-;
Rua Ildefonso Stockler de França;Ildefonso Stockler de França;Ildefonso;Stockler;-2;Male;-;-;
Rua Clara Polsin;Clara Polsin;Clara;Polsin;2;Female;-;-;
Rua Arnaldo Thá;Arnaldo Thá;Arnaldo;Thá;-2;Male;-;-;
Avenida Frederico Lambertucci;Frederico Lambertucci;Frederico;Lambertucci;-2;Male;-;-;
Avenida Alcir Martins Bastos;Alcir Martins Bastos;Alcir;Martins;-2;Male;-;-;
Rua Professor Algacyr Munhoz Mader;Professor Algacyr Munhoz Mader;Professor;Algacyr;-2;Male;-;-;
Rua Orlando Albino Von Der Osten;Orlando Albino Von Der Osten;Orlando;Albino;-2;Male;-;-;
Rua Pedro Zagonel;Pedro Zagonel;Pedro;Zagonel;-2;Male;-;-;
Rua Primo Lourenço Tosin;Primo Lourenço Tosin;Primo;Lourenço;-2;Male;-;-;
Rua Visconde do Serro Frio;Visconde do Serro Frio;Visconde;do;-2;Male;-;-;
Rua Itatiaia;Itatiaia;Itatiaia;;2;Female;-;-;https://pt.wikipedia.org/wiki/Itatiaia
Rua Pedro Hansaul;Pedro Hansaul;Pedro;Hansaul;-2;Male;-;-;
Rua Carlos Blanck;Carlos Blanck;Carlos;Blanck;-2;Male;-;-;
Rua Caetano Marchesini;Caetano Marchesini;Caetano;Marchesini;-2;Male;-;-;
Rua João de Mio;João de Mio;João;de;-2;Male;-;-;
Rua Doutora Martha Silva Gomes;Doutora Martha Silva Gomes;Doutora;Martha;2;Female;-;-;
Rua Adalberto Carvalho de Araújo;Adalberto Carvalho de Araújo;Adalberto;Carvalho;-2;Male;-;-;
Rua Itacolomi;Itacolomi;Itacolomi;;0;Unknown;-;-;
Rua Francisco de Souza Netto;Francisco de Souza Netto;Francisco;de;-2;Male;-;-;
Rua Domingos Batista Vizoli;Domingos Batista Vizoli;Domingos;Batista;-2;Male;-;-;
Rua Manoel Joaquim de Quadros;Manoel Joaquim de Quadros;Manoel;Joaquim;-2;Male;-;-;
Rua José Joaquim Teixeira;José Joaquim Teixeira;José;Joaquim;-2;Male;-;-;
Rua Amadeu Piotto;Amadeu Piotto;Amadeu;Piotto;-2;Male;-;-;
Rua Padre Francisco Chilaszek;Padre Francisco Chilaszek;Padre;Francisco;-2;Male;-;-;
Rua Padre Boleslau Lucas Bayer;Padre Boleslau Lucas Bayer;Padre;Boleslau;-2;Male;-;-;
Rua Júlio Woss;Júlio Woss;Júlio;Woss;-2;Male;-;-;
Rua José Maria de Barros Faria;José Maria de Barros Faria;José;Maria;-2;Male;-;-;
Rua Doutor Polan Duszczak;Doutor Polan Duszczak;Doutor;Polan;0;Male;-;-;
Rua André Visinoni;André Visinoni;André;Visinoni;-2;Male;-;-;
Rua Padre José Lopacinski;Padre José Lopacinski;Padre;José;-2;Male;-;-;
Rua Padre Antônio Joaquim Ribeiro;Padre Antônio Joaquim Ribeiro;Padre;Antônio;-2;Male;-;-;
Rua José Tissi;José Tissi;José;Tissi;-2;Male;-;-;
Rua Padre Paulo Warkocz;Padre Paulo Warkocz;Padre;Paulo;-2;Male;-;-;
Rua Padre Francisco Madej;Padre Francisco Madej;Padre;Francisco;-2;Male;-;-;
Rua Padre João Kominek;Padre João Kominek;Padre;João;-2;Male;-;-;
Rua Padre Jacinto Miensopust;Padre Jacinto Miensopust;Padre;Jacinto;-2;Male;-;-;
Rua Padre Victor Dewor;Padre Victor Dewor;Padre;Victor;-2;Male;-;-;
Rua Padre João Rzemelka;Padre João Rzemelka;Padre;João;-2;Male;-;-;
Rua João Kinelski;João Kinelski;João;Kinelski;-2;Male;-;-;
